,Tweets,len,ID,Date,Source,Likes,RT
84,Thank you for the phenomenal support Madurai! @BJP4TamilNadu https://t.co/xBaWpQVUz4,84,1089573063451000832,2019-01-27 17:17:16,Twitter Web Client,8893,2113
85,"To settle personal scores, leaders of the Kerala Congress played with India’s strategic interests. 

Can such a Par… https://t.co/1j306muqfO",140,1089571959791280129,2019-01-27 17:12:53,Twitter Media Studio,9257,2502
86,"Elections will come and go, the nation will remain. https://t.co/vGima4nH3M",75,1089571876978872321,2019-01-27 17:12:33,Twitter Media Studio,10734,2640
87,"The Opposition is bankrupt when it comes to a positive agenda for India’s development.

Their respect for instituti… https://t.co/7WbMVg0pCF",140,1089571778806960128,2019-01-27 17:12:09,Twitter Media Studio,19154,4556
88,"Our endeavour is to make India a hub for the petrochemicals sector. 

‘Make in India’ offers many opportunities in… https://t.co/mdqe6vfNst",139,1089566800109400064,2019-01-27 16:52:22,Twitter Media Studio,7532,1814
89,"Today, various projects were initiated at the Kochi Refinery. 

These will go a long way in strengthening the petro… https://t.co/2zafv5WIAo",140,1089566705297342467,2019-01-27 16:52:00,Twitter Web Client,6095,1412
90,Ensuring social justice and inclusive growth for all sections of society. https://t.co/iGjYbdi0Rb,97,1089566164068397056,2019-01-27 16:49:51,Twitter Media Studio,6258,1516
91,"As far as Tamil Nadu is concerned, the NDA Government is working to make the state a hub for defence and aerospace… https://t.co/eOcwgOR8Tl",139,1089565951677190146,2019-01-27 16:49:00,Twitter Media Studio,13203,2869
92,"Delighted to be in the ancient city of Madurai, which has a central place in the history and culture of Tamil Nadu.… https://t.co/F0UTQrkjy7",140,1089565759741644800,2019-01-27 16:48:14,Twitter Media Studio,8967,2187
93,Come to Thrissur and see the enthusiasm towards BJP! Addressing a massive rally. https://t.co/PrS4dsUlGX,104,1089487327519399937,2019-01-27 11:36:35,Periscope,20147,4704
94,Tamil Nadu supports BJP! Watch the rally at Madurai. https://t.co/grteJsIxtb,76,1089420967909109763,2019-01-27 07:12:53,Periscope,22633,5438
95,2019's first #MannKiBaat. Tune in. https://t.co/TxT7dMPbuV,58,1089396156055007232,2019-01-27 05:34:18,Periscope,13763,3092
96,"Best wishes to Meghalaya’s dynamic CM, Mr. @SangmaConrad on his birthday. He is energetically serving the people of… https://t.co/omxgiSLldf",140,1089350989084348416,2019-01-27 02:34:49,Twitter for iPhone,19938,2626
97,Tune in at 11 AM today. #MannKiBaat https://t.co/bQyZiy1c4B,59,1089339914750185472,2019-01-27 01:50:49,Twitter for iPhone,11598,2379
98,"Dear Exam Warriors, 

People across India are standing shoulder to shoulder with you as you prepare for the exams.… https://t.co/qtAzPLKWyY",139,1089135506032476160,2019-01-26 12:18:34,Twitter Media Studio,22421,4652
99,"छोटा भीम का बड़ा समर्थन! 

Thank you Chhota Bheem, for strengthening the team that is fulfilling the dream of a Swa… https://t.co/1iOvtPbLV0",140,1089134537223729153,2019-01-26 12:14:43,Twitter Web Client,32767,6874
100,"I had a great interaction with @YourStoryCo on aspects relating to startups, innovation, entrepreneurship, MSME sec… https://t.co/s0eR12tVzY",140,1089133900763262976,2019-01-26 12:12:11,Twitter Web Client,16270,3353
101,"The colours of India…

Have a look at the cultural diversity of our country shown at the #RepublicDay2019 celebrati… https://t.co/aIbAiDpyMj",140,1089080401237168128,2019-01-26 08:39:36,Twitter Web Client,20041,4081
102,"India’s military and security prowess at Rajpath.

Ours is a land of peace, which has shown the way when it comes t… https://t.co/kx5NhK50Tp",140,1089077464087719936,2019-01-26 08:27:56,Twitter Web Client,21229,4619
103,"Our vibrant Republic! 

Here are some glimpses from the #RepublicDay2019 celebrations at Rajpath. https://t.co/1eKQyGQEEK",121,1089074658001985536,2019-01-26 08:16:47,Twitter Web Client,18447,3845
104,"At Amar Jawan Jyoti, a grateful nation pays homage to the brave soldiers who sacrificed their own lives for the nat… https://t.co/PjGGW3VFgn",140,1089072557762895872,2019-01-26 08:08:26,Twitter Web Client,37401,6311
105,"Happy Republic Day to all fellow Indians. 

सभी देशवासियों को #गणतंत्रदिवस की शुभकामनाएं।

जय हिन्द!",100,1088957996661501952,2019-01-26 00:33:12,Twitter for iPhone,79420,14450
106,"Congratulations to all those who have been conferred the Padma Awards. 

India is proud of each and every awardee,… https://t.co/tbsCzjfiOS",139,1088835267375566848,2019-01-25 16:25:31,Twitter for iPhone,21994,4507
107,"Pranab Da is an outstanding statesman of our times. 

He has served the nation selflessly and tirelessly for decade… https://t.co/RLrlQLyIGj",140,1088814687662292992,2019-01-25 15:03:45,Twitter Web Client,53728,10955
108,The songs and music of Shri Bhupen Hazarika are admired by people across generations. From them radiates the messag… https://t.co/6I49RwajDi,140,1088814541251727360,2019-01-25 15:03:10,Twitter Web Client,29073,6426
109,Nanaji Deshmukh's stellar contribution towards rural development showed the way for a new paradigm of empowering th… https://t.co/o0W91SXRw3,140,1088814319670910977,2019-01-25 15:02:17,Twitter Web Client,23788,5883
110,Heard the insightful views of President @CyrilRamaphosa at the Gandhi-Mandela Memorial Freedom Lecture in New Delhi. https://t.co/awdm0VceoI,140,1088791373304672256,2019-01-25 13:31:06,Twitter Web Client,6358,1393
111,"Cooperation in areas such as agriculture, food processing, skill development, IT, gems and jewellery augurs well fo… https://t.co/wcYKo3tonY",140,1088791190550413314,2019-01-25 13:30:23,Twitter Web Client,7102,1510
112,"India and South Africa are shaped by the ideals of the great Mahatma Gandhi and the venerable Madiba. 

Guided by t… https://t.co/ATcRYBbgre",140,1088790617310736384,2019-01-25 13:28:06,Twitter Web Client,10959,2013
113,"India is honoured to welcome President @CyrilRamaphosa. 

He is visiting us at a special time, when we are marking… https://t.co/eBFnS14S6W",139,1088790315987755009,2019-01-25 13:26:54,Twitter Web Client,9187,1878
114,Addressing the India-South Africa Business Forum. Watch. https://t.co/i3GyCPBOTn,80,1088759523148365824,2019-01-25 11:24:33,Periscope,10672,2331
115,"RT @BJP4India: हर वोट की अहमियत है, हर वोट खास है, 

वोट सिर्फ ठप्पा नहीं, हमारी आवाज है।

तो देश के प्यारे युवाओं, अपना पहला वोट बनाओ याद…",139,1088688898002173952,2019-01-25 06:43:54,Twitter Web Client,0,7726
116,"Best wishes to the people of Himachal Pradesh on their Statehood Day. May this state, the land of natural beauty an… https://t.co/Gz8DJaEem0",140,1088686691815059456,2019-01-25 06:35:08,Twitter Web Client,12841,2526
117,I urge people from all walks of life to create awareness on voter registration and especially request my young frie… https://t.co/LiXhQjBNo0,140,1088685727385247745,2019-01-25 06:31:18,Twitter Web Client,27494,6322
118,Greetings on #NationalVotersDay. This is a day to reaffirm our commitment towards further strengthening our democra… https://t.co/v4Mo0HxYh9,140,1088685606157266944,2019-01-25 06:30:49,Twitter Web Client,8686,2171
119,"With this launch, India also becomes the first country to use the fourth stage of a space rocket as an orbital plat… https://t.co/QkHxs1cL1z",140,1088596419286462464,2019-01-25 00:36:26,Twitter for iPhone,19210,4136
120,"Heartiest congratulations to our space scientists for yet another successful launch of PSLV. 

This launch has put… https://t.co/cImcwaF1GL",139,1088596416149110784,2019-01-25 00:36:25,Twitter for iPhone,27212,5499
121,"Under the leadership of Shri @myogiadityanath Ji and his team, Uttar Pradesh has been achieving remarkable success… https://t.co/W7ukaLwYfk",139,1088440780304203781,2019-01-24 14:17:58,Twitter Web Client,17778,4209
122,On the special occasion of Uttar Pradesh Diwas I convey my greetings to the people of UP and pray for the continued… https://t.co/66N2gmmy8v,140,1088440606924271618,2019-01-24 14:17:17,Twitter Web Client,20259,3678
123,"Had an excellent interaction with tableaux artistes, guests from tribal communities, NCC cadets and NSS volunteers… https://t.co/R59h32XvP0",139,1088438466600361991,2019-01-24 14:08:47,Twitter Web Client,7723,1689
124,"India is phenomenally proud of these young achievers, who have been distinguishing themselves in a wide range of ar… https://t.co/NAXpVWYpW2",140,1088437043053510656,2019-01-24 14:03:07,Twitter Web Client,10931,2509
125,"Honouring a young genius! 

Raam M is a versatile music maestro. He is among the youngest Indians to have succeeded… https://t.co/ApIEVnSSlM",140,1088435502758256643,2019-01-24 13:57:00,Twitter Web Client,6960,1440
126,Dev Dushyantkumar Joshi has distinguished himself as an actor. His work in TV serials has been admired all over. Ha… https://t.co/F7wWhqvNsu,140,1088434998472888320,2019-01-24 13:55:00,Twitter Web Client,6445,1248
127,Vinayaka M belongs to Karnataka. He is a versatile artist and has given several stupendous performances. His musica… https://t.co/Ml5BmI4HWr,140,1088434655106281473,2019-01-24 13:53:38,Twitter Web Client,6649,1313
128,"Meet Aryaman Agarwal.

He is a young magician, who presents interesting magic tricks. He has done shows not only fo… https://t.co/hOw77NhYiE",140,1088434296560410624,2019-01-24 13:52:13,Twitter Web Client,6756,1353
129,"Truptraj Atul Pandya is a master percussionist He is an established radio and TV artist as well, who has given more… https://t.co/I756KH8Ci4",140,1088433748574535681,2019-01-24 13:50:02,Twitter Web Client,7275,1648
130,Meeting and knowing brave Nikhil Jituri was a pleasure. He saved the life of a two-year-old who accidentally fell i… https://t.co/BQjMOpMTjn,140,1088432260821454848,2019-01-24 13:44:07,Twitter Web Client,6004,1274
131,"Kartik Kumar Goyal and Adrika Goyal from Madhya Pradesh showed courage and social consciousness in providing food,… https://t.co/hQpqR1J3pn",139,1088431944151388162,2019-01-24 13:42:52,Twitter Web Client,7250,1499
132,"Angel Vijay Deokule, from Maharashtra, is an inspiration for young girls. She is an Sqay martial artist and has bro… https://t.co/KaVXTQI6cJ",140,1088431518169522176,2019-01-24 13:41:10,Twitter Web Client,7129,1688
133,"Anish, from Haryana, is great at aiming and achieving. He is an international Gold medalist young shooter who won a… https://t.co/XB3CQgEBwR",140,1088430219470360576,2019-01-24 13:36:01,Twitter Web Client,6703,1326
134,"It was a pleasure meeting young Priyam Tated. From Andhra Pradesh, he is a wonderful exponent of Roller or Figure S… https://t.co/P2MFdo2gJT",140,1088429411395747841,2019-01-24 13:32:48,Twitter Web Client,6421,1281
135,My young friend Esow from Andaman and Nicobar islands has made us proud. He was awarded the Junior World No. 1 at t… https://t.co/t9EPaD7C9J,140,1088429206151692289,2019-01-24 13:31:59,Twitter Web Client,5756,1235
136,"Young Shivangi from Haryana is scaling the peaks of achievement, literally! 

She is the youngest girl from India t… https://t.co/OXez2ZQrir",140,1088427742465425408,2019-01-24 13:26:10,Twitter Web Client,9748,1802
137,"Nishant Dhankhar is an ace mathematician, who has won many accolades internationally. 

His project on Szemerédi's… https://t.co/Djoxd1oYaF",139,1088427481479016448,2019-01-24 13:25:08,Twitter Web Client,6558,1363
138,More power to Megha Bose’s scholastic zeal! She distinguished herself at several Olympiads and quizzes. It was wond… https://t.co/t3L3Psljks,140,1088426349155409920,2019-01-24 13:20:38,Twitter Web Client,6809,1356
139,"Odisha's Ayushman Tripathy has won many accolades for his scholastic abilities at the National and International, l… https://t.co/C6S9uLUVP5",140,1088426111745241088,2019-01-24 13:19:41,Twitter Web Client,5318,1159
140,"Ensuring a healthy India! 

Met Dr. Arunalla Sridhar Reddy from Andhra Pradesh, who has conducted free dental check… https://t.co/ql4c6Qw5cE",140,1088425381030289408,2019-01-24 13:16:47,Twitter Web Client,5557,1226
