,Tweets,len,ID,Date,Source,Likes,RT
189,"Asha Ji, thank you for gracing the programme with your presence. The entire nation looks up to you for your stupend… https://t.co/bL9q9xYs5g",140,1086841555250499584,2019-01-20 04:23:13,Twitter for iPhone,18760,3232
190,"Yes, I agree with you. @itsBhushanKumar https://t.co/ruBrdzVayp",63,1086841261502300160,2019-01-20 04:22:03,Twitter for iPhone,11385,1729
191,"Looking happy as always, Manoj Bhai! https://t.co/csYxdp5SwL",60,1086841108221423619,2019-01-20 04:21:27,Twitter for iPhone,12320,2020
192,"In addition to preservation, I hope this museum emerges as a centre of inspiration, where people get to see the mor… https://t.co/1jvYzNbgvO",140,1086840876788109312,2019-01-20 04:20:32,Twitter for iPhone,10714,2063
193,I enjoyed interacting with you and other members of the film fraternity. This community has been at the forefront o… https://t.co/OLGEVybQQV,140,1086840532209262593,2019-01-20 04:19:10,Twitter for iPhone,8625,1502
194,"When @KapilSharmaK9 appreciates somebody's humour, it sure makes that person happy and I am no exception. :)

Thank… https://t.co/7oQMwZkB1R",140,1086840330035519495,2019-01-20 04:18:21,Twitter for iPhone,47194,6356
195,"Happy to have met you, @arrahman. https://t.co/QGQSRmMmnU",57,1086840061851623424,2019-01-20 04:17:17,Twitter for iPhone,11893,1732
196,We have several talented youngsters and we also have so many talented film personalities who can mentor these youth… https://t.co/NCaJvhMBIB,140,1086839936001531904,2019-01-20 04:16:47,Twitter for iPhone,8958,1796
197,"The wonderful city of Mumbai is now home to the excellent National Museum of Indian Cinema. 

Here are some picture… https://t.co/P4GVL1PXX6",140,1086678936015097856,2019-01-19 17:37:02,Twitter Web Client,18882,3748
198,"They got together in Kolkata with no agenda but to stop BJP.

They talk of democracy in a state where the ruling pa… https://t.co/LP1UbBxuJW",140,1086665031121625090,2019-01-19 16:41:47,Twitter Web Client,65292,20230
199,"Their day begins with Modi, ends with Modi.

All they want to do is further their own dynasties. 

They have zero v… https://t.co/O7OBv9zog4",140,1086664656964349957,2019-01-19 16:40:18,Twitter Media Studio,17990,5460
